Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.8874;0.89;0.8874;0.8876;0.9514;0.9515;0.9514;0.9514;0.95;0.9565;0.95;0.9507;0.9701;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 488, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=488)
KNeighborsClassifier;0.8736;0.8792;0.8736;0.8744;0.9444;0.9447;0.9444;0.944;0.9167;0.9212;0.9167;0.9174;0.9679;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
MLPClassifier;0.8681;0.8733;0.8681;0.8688;0.9653;0.966;0.9653;0.9654;0.9167;0.9259;0.9167;0.9171;0.9678;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 508, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=508)
MLPClassifier;0.8765;0.8799;0.8765;0.8769;0.9375;0.9378;0.9375;0.9376;0.9167;0.9259;0.9167;0.9171;0.9712;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 508, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=508)
MLPClassifier;0.8789;0.8809;0.8789;0.8788;0.9583;0.9591;0.9583;0.9585;0.9167;0.9259;0.9167;0.9171;0.9671;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 508, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=508)
RandomForestClassifier;0.929;0.9304;0.929;0.929;0.9306;0.9316;0.9306;0.9306;0.9167;0.9182;0.9167;0.917;0.9897;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 769};RandomForestClassifier(n_estimators=20, random_state=769)
MLPClassifier;0.8765;0.8792;0.8765;0.8766;0.9514;0.9519;0.9514;0.9514;0.9167;0.9228;0.9167;0.9168;0.9667;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 488, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=488)
KNeighborsClassifier;0.8897;0.8931;0.8897;0.8897;0.9236;0.9322;0.9236;0.9241;0.9167;0.9174;0.9167;0.9166;0.9672;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8873;0.8922;0.8873;0.8871;0.9375;0.9375;0.9375;0.9375;0.9167;0.9174;0.9167;0.9166;0.9672;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8866;0.892;0.8866;0.8867;0.9375;0.9393;0.9375;0.9375;0.9;0.9048;0.9;0.9012;0.9659;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
MLPClassifier;0.8735;0.8768;0.8735;0.8734;0.9375;0.9401;0.9375;0.9379;0.9;0.9069;0.9;0.901;0.9678;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 508, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=508)
MLPClassifier;0.8835;0.8867;0.8835;0.8838;0.9444;0.9455;0.9444;0.9445;0.9;0.9069;0.9;0.901;0.9708;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 508, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=508)
KNeighborsClassifier;0.885;0.8891;0.885;0.8849;0.9514;0.9524;0.9514;0.9517;0.9;0.9015;0.9;0.9004;0.9661;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
