Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9365;0.9374;0.9365;0.9366;0.9072;0.9073;0.9072;0.9072;0.95;0.95;0.95;0.95;0.9775;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 428};RandomForestClassifier(n_estimators=20, random_state=428)
RandomForestClassifier;0.9345;0.935;0.9345;0.9345;0.9313;0.9328;0.9313;0.9316;0.9333;0.934;0.9333;0.9333;0.9775;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 619};RandomForestClassifier(n_estimators=20, random_state=619)
RandomForestClassifier;0.9319;0.9325;0.9319;0.9321;0.9276;0.9276;0.9276;0.9274;0.9333;0.934;0.9333;0.9333;0.9771;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 638};RandomForestClassifier(n_estimators=20, random_state=638)
RandomForestClassifier;0.9277;0.9284;0.9277;0.9278;0.9345;0.9349;0.9345;0.9342;0.9333;0.934;0.9333;0.9333;0.9766;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 638};RandomForestClassifier(n_estimators=20, random_state=638)
RandomForestClassifier;0.9319;0.9322;0.9319;0.9319;0.9414;0.9422;0.9414;0.9415;0.9333;0.934;0.9333;0.9333;0.9777;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 619};RandomForestClassifier(n_estimators=20, random_state=619)
KNeighborsClassifier;0.8955;0.8975;0.8955;0.8957;0.9276;0.9279;0.9276;0.9277;0.9333;0.9346;0.9333;0.9328;0.9623;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8986;0.9;0.8986;0.8988;0.9069;0.9087;0.9069;0.9063;0.9333;0.9346;0.9333;0.9328;0.9659;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8963;0.8978;0.8963;0.8967;0.9138;0.914;0.9138;0.9139;0.9333;0.9346;0.9333;0.9328;0.9633;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.9005;0.9013;0.9005;0.9007;0.9069;0.9075;0.9069;0.9067;0.9333;0.9346;0.9333;0.9328;0.9639;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8917;0.8934;0.8917;0.8921;0.9107;0.9119;0.9107;0.9102;0.9167;0.9195;0.9167;0.917;0.9611;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.9292;0.9298;0.9292;0.9293;0.9276;0.9306;0.9276;0.9273;0.9167;0.9174;0.9167;0.9166;0.9764;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 619};RandomForestClassifier(n_estimators=20, random_state=619)
RandomForestClassifier;0.9353;0.9362;0.9353;0.9354;0.9072;0.9076;0.9072;0.9073;0.9167;0.9174;0.9167;0.9166;0.978;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 638};RandomForestClassifier(n_estimators=20, random_state=638)
RandomForestClassifier;0.9292;0.93;0.9292;0.9293;0.9379;0.9379;0.9379;0.9379;0.9167;0.9174;0.9167;0.9166;0.9781;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 619};RandomForestClassifier(n_estimators=20, random_state=619)
