Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.9097;0.9116;0.9097;0.9098;0.8819;0.8895;0.8819;0.8838;0.85;0.8557;0.85;0.8514;0.9323;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 833};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=833)
RandomForestClassifier;0.9491;0.9509;0.9491;0.949;0.9375;0.9393;0.9375;0.9375;0.85;0.8554;0.85;0.8504;0.9938;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 284};RandomForestClassifier(n_estimators=20, random_state=284)
MLPClassifier;0.9051;0.9067;0.9051;0.905;0.9236;0.9274;0.9236;0.9244;0.85;0.8563;0.85;0.8504;0.9783;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 386, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=386)
MLPClassifier;0.9051;0.9067;0.9051;0.9053;0.9444;0.9452;0.9444;0.9443;0.85;0.8524;0.85;0.8497;0.9785;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 386, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=386)
MLPClassifier;0.8935;0.8974;0.8935;0.8935;0.9722;0.9722;0.9722;0.9722;0.85;0.8524;0.85;0.8497;0.9762;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 386, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=386)
MLPClassifier;0.8989;0.9015;0.8989;0.8993;0.9514;0.9534;0.9514;0.9518;0.85;0.8524;0.85;0.8497;0.9775;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 835, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=835)
MLPClassifier;0.9012;0.9033;0.9012;0.901;0.9792;0.9796;0.9792;0.9792;0.85;0.8524;0.85;0.8497;0.9765;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 835, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=835)
MLPClassifier;0.8989;0.9017;0.8989;0.8987;0.9722;0.9725;0.9722;0.9721;0.85;0.8524;0.85;0.8497;0.9769;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 386, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=386)
MLPClassifier;0.9012;0.9032;0.9012;0.9015;0.9722;0.9729;0.9722;0.9724;0.85;0.8524;0.85;0.8497;0.9762;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 386, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=386)
MLPClassifier;0.8973;0.9;0.8973;0.8975;0.9583;0.9608;0.9583;0.958;0.85;0.8524;0.85;0.8497;0.9766;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 386, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=386)
MLPClassifier;0.9074;0.9104;0.9074;0.9078;0.9583;0.9586;0.9583;0.9582;0.85;0.8524;0.85;0.8497;0.9769;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 386, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=386)
RandomForestClassifier;0.9476;0.9494;0.9476;0.9475;0.9583;0.9595;0.9583;0.9585;0.85;0.8591;0.85;0.8495;0.9948;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 856};RandomForestClassifier(n_estimators=20, random_state=856)
RandomForestClassifier;0.9521;0.9541;0.9521;0.9523;0.9375;0.9396;0.9375;0.9377;0.85;0.8597;0.85;0.849;0.994;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 566};RandomForestClassifier(n_estimators=20, random_state=566)
