Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.8844;0.8848;0.8844;0.8843;0.8779;0.8786;0.8779;0.8779;0.8667;0.8759;0.8667;0.8684;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 610};RandomForestClassifier(n_estimators=10, random_state=610)
DecisionTreeClassifier;0.8835;0.8839;0.8835;0.8835;0.8879;0.888;0.8879;0.8879;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 706};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=706)
DecisionTreeClassifier;0.8838;0.8842;0.8838;0.8837;0.886;0.8864;0.886;0.8858;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
DecisionTreeClassifier;0.8849;0.8853;0.8849;0.8848;0.8846;0.8847;0.8846;0.8844;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 90};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=90)
DecisionTreeClassifier;0.8831;0.8834;0.8831;0.883;0.8907;0.8914;0.8907;0.8906;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 90};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=90)
DecisionTreeClassifier;0.8853;0.8858;0.8853;0.8852;0.8753;0.8753;0.8753;0.8752;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 90};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=90)
DecisionTreeClassifier;0.8846;0.8851;0.8846;0.8845;0.8799;0.8802;0.8799;0.8799;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 90};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=90)
DecisionTreeClassifier;0.8828;0.8833;0.8828;0.8827;0.8866;0.8867;0.8866;0.8866;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 706};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=706)
DecisionTreeClassifier;0.8824;0.8829;0.8824;0.8824;0.8859;0.8861;0.8859;0.8857;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 706};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=706)
DecisionTreeClassifier;0.8842;0.8846;0.8842;0.8841;0.8866;0.8868;0.8866;0.8866;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 90};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=90)
DecisionTreeClassifier;0.884;0.8844;0.884;0.8839;0.8839;0.8845;0.8839;0.8839;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 90};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=90)
DecisionTreeClassifier;0.8846;0.8851;0.8846;0.8845;0.8753;0.8753;0.8753;0.8753;0.85;0.864;0.85;0.8518;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
