Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.9429;0.944;0.9429;0.9429;0.915;0.9259;0.915;0.9156;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 981};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=981)
DecisionTreeClassifier;0.9297;0.931;0.9297;0.9299;0.9592;0.9627;0.9592;0.9594;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 395};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=395)
DecisionTreeClassifier;0.9282;0.9299;0.9282;0.9282;0.9456;0.9507;0.9456;0.9458;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 926};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=926)
DecisionTreeClassifier;0.9346;0.9361;0.9346;0.9346;0.9422;0.9435;0.9422;0.9424;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 926};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=926)
DecisionTreeClassifier;0.9331;0.9338;0.9331;0.9331;0.9456;0.948;0.9456;0.9457;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 231};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=231)
DecisionTreeClassifier;0.9312;0.9332;0.9312;0.9314;0.932;0.9352;0.932;0.9317;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 231};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=231)
MLPClassifier;0.9097;0.9169;0.9097;0.9099;0.9082;0.9182;0.9082;0.9091;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 73, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=73)
DecisionTreeClassifier;0.9369;0.9382;0.9369;0.9369;0.9286;0.9341;0.9286;0.9282;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 981};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=981)
DecisionTreeClassifier;0.935;0.9359;0.935;0.935;0.9184;0.9196;0.9184;0.9183;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 926};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=926)
DecisionTreeClassifier;0.935;0.9366;0.935;0.9349;0.9422;0.945;0.9422;0.942;0.9333;0.9406;0.9333;0.9316;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 981};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=981)
