Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.8829;0.8838;0.8829;0.8829;0.9069;0.9082;0.9069;0.9069;0.9167;0.9205;0.9167;0.916;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 12, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=12)
MLPClassifier;0.8833;0.8838;0.8833;0.8831;0.9138;0.9141;0.9138;0.9139;0.9;0.9029;0.9;0.8989;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 775, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=775)
MLPClassifier;0.8828;0.8833;0.8828;0.883;0.9347;0.935;0.9347;0.9344;0.9;0.9029;0.9;0.8989;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 338, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=338)
MLPClassifier;0.881;0.8813;0.881;0.8811;0.8931;0.8938;0.8931;0.8927;0.9;0.9036;0.9;0.8984;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 338, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=338)
MLPClassifier;0.8798;0.8796;0.8798;0.8799;0.9107;0.9112;0.9107;0.9099;0.9;0.9036;0.9;0.8984;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 791, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=791)
MLPClassifier;0.8779;0.8782;0.8779;0.878;0.9103;0.9108;0.9103;0.9104;0.9;0.9036;0.9;0.8984;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 791, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=791)
MLPClassifier;0.8806;0.8811;0.8806;0.8807;0.931;0.931;0.931;0.931;0.9;0.9036;0.9;0.8984;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 338, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=338)
MLPClassifier;0.8779;0.878;0.8779;0.878;0.931;0.9333;0.931;0.9305;0.9;0.9036;0.9;0.8984;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 12, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=12)
MLPClassifier;0.8882;0.889;0.8882;0.8881;0.921;0.921;0.921;0.921;0.9;0.9036;0.9;0.8984;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 338, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=338)
RandomForestClassifier;0.9257;0.9264;0.9257;0.9256;0.9034;0.9039;0.9034;0.9035;0.8833;0.8942;0.8833;0.8854;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 386};RandomForestClassifier(n_estimators=20, random_state=386)
KNeighborsClassifier;0.9017;0.9038;0.9017;0.9017;0.8931;0.8932;0.8931;0.8931;0.8833;0.8868;0.8833;0.884;smote;1000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=7)
MLPClassifier;0.9082;0.9112;0.9082;0.9082;0.9034;0.9062;0.9034;0.9033;0.8833;0.9055;0.8833;0.8833;smote;1000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 979, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=979)
MLPClassifier;0.9078;0.9104;0.9078;0.9077;0.9;0.9052;0.9;0.9007;0.8833;0.9055;0.8833;0.8833;smote;1000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 231, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=231)
MLPClassifier;0.907;0.9092;0.907;0.9068;0.9038;0.9054;0.9038;0.904;0.8833;0.9055;0.8833;0.8833;smote;1000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 130, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=130)
RandomForestClassifier;0.9288;0.9293;0.9288;0.9287;0.9244;0.9247;0.9244;0.9244;0.8833;0.8836;0.8833;0.8823;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 915};RandomForestClassifier(n_estimators=20, random_state=915)
MLPClassifier;0.8829;0.8835;0.8829;0.8832;0.9;0.9027;0.9;0.8976;0.8833;0.8842;0.8833;0.8823;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 338, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=338)
MLPClassifier;0.8802;0.8808;0.8802;0.8803;0.9069;0.9073;0.9069;0.9063;0.8833;0.8844;0.8833;0.8814;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 775, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=775)
MLPClassifier;0.8844;0.8849;0.8844;0.8844;0.931;0.931;0.931;0.9307;0.8833;0.8881;0.8833;0.8805;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 791, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=791)
MLPClassifier;0.8794;0.8805;0.8794;0.8795;0.9172;0.9172;0.9172;0.9169;0.8833;0.8881;0.8833;0.8805;smote;1000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 791, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=791)
