Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.895;0.8966;0.895;0.895;0.8639;0.8669;0.8639;0.8645;0.8833;0.8875;0.8833;0.884;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 424};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=424)
DecisionTreeClassifier;0.8991;0.9002;0.8991;0.8989;0.8639;0.8806;0.8639;0.866;0.8833;0.8875;0.8833;0.884;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
DecisionTreeClassifier;0.8866;0.8877;0.8866;0.8861;0.8435;0.852;0.8435;0.8437;0.8833;0.8875;0.8833;0.884;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
RandomForestClassifier;0.9135;0.9148;0.9135;0.9137;0.8776;0.8807;0.8776;0.8784;0.8833;0.8868;0.8833;0.884;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 699};RandomForestClassifier(n_estimators=20, random_state=699)
DecisionTreeClassifier;0.8995;0.9005;0.8995;0.8995;0.8741;0.8784;0.8741;0.8733;0.8833;0.8875;0.8833;0.884;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 424};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=424)
RandomForestClassifier;0.9097;0.9113;0.9097;0.91;0.915;0.9154;0.915;0.9152;0.8833;0.8833;0.8833;0.8833;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 699};RandomForestClassifier(n_estimators=20, random_state=699)
KNeighborsClassifier;0.8708;0.8733;0.8708;0.8713;0.9082;0.908;0.9082;0.9079;0.8833;0.8833;0.8833;0.8833;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
DecisionTreeClassifier;0.8877;0.8886;0.8877;0.8876;0.8946;0.8974;0.8946;0.8954;0.8833;0.886;0.8833;0.8832;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 424};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=424)
DecisionTreeClassifier;0.8874;0.8888;0.8874;0.8876;0.8639;0.8666;0.8639;0.8647;0.8833;0.886;0.8833;0.8832;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 424};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=424)
RandomForestClassifier;0.9074;0.9093;0.9074;0.9076;0.9184;0.9186;0.9184;0.9185;0.8833;0.8836;0.8833;0.8823;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
KNeighborsClassifier;0.8685;0.8711;0.8685;0.8687;0.898;0.8973;0.898;0.8972;0.8833;0.8836;0.8833;0.8823;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
DecisionTreeClassifier;0.8949;0.8957;0.8949;0.8948;0.8639;0.8787;0.8639;0.8651;0.8667;0.8739;0.8667;0.8679;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
DecisionTreeClassifier;0.8945;0.8954;0.8945;0.8945;0.8776;0.8849;0.8776;0.8783;0.8667;0.8739;0.8667;0.8679;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
RandomForestClassifier;0.9089;0.9097;0.9089;0.9089;0.9218;0.9235;0.9218;0.9222;0.8667;0.873;0.8667;0.8675;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 164};RandomForestClassifier(n_estimators=20, random_state=164)
DecisionTreeClassifier;0.8908;0.8914;0.8908;0.8908;0.8707;0.876;0.8707;0.8716;0.8667;0.8704;0.8667;0.8674;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=612)
RandomForestClassifier;0.9074;0.9088;0.9074;0.9077;0.9014;0.9024;0.9014;0.9017;0.8667;0.8681;0.8667;0.867;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.9074;0.9092;0.9074;0.9077;0.9116;0.9123;0.9116;0.9119;0.8667;0.8681;0.8667;0.867;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 699};RandomForestClassifier(n_estimators=20, random_state=699)
RandomForestClassifier;0.8995;0.9013;0.8995;0.8996;0.9218;0.9215;0.9218;0.9215;0.8667;0.8681;0.8667;0.867;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 164};RandomForestClassifier(n_estimators=20, random_state=164)
RandomForestClassifier;0.9021;0.9031;0.9021;0.9022;0.9422;0.9445;0.9422;0.9426;0.8667;0.8681;0.8667;0.867;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 699};RandomForestClassifier(n_estimators=20, random_state=699)
RandomForestClassifier;0.9059;0.9081;0.9059;0.906;0.8844;0.8838;0.8844;0.8841;0.8667;0.8681;0.8667;0.867;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 164};RandomForestClassifier(n_estimators=10, random_state=164)
DecisionTreeClassifier;0.898;0.8988;0.898;0.8978;0.8571;0.8688;0.8571;0.8597;0.8667;0.8722;0.8667;0.8667;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 424};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=424)
DecisionTreeClassifier;0.8923;0.8935;0.8923;0.8921;0.8741;0.8786;0.8741;0.8749;0.8667;0.8722;0.8667;0.8667;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
RandomForestClassifier;0.9055;0.9071;0.9055;0.9056;0.8878;0.891;0.8878;0.8881;0.8667;0.8672;0.8667;0.8666;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
DecisionTreeClassifier;0.8945;0.8951;0.8945;0.8946;0.8912;0.8943;0.8912;0.8918;0.8667;0.8709;0.8667;0.8663;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
