Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9228;0.9254;0.9228;0.9222;0.8551;0.8736;0.8551;0.8556;0.8667;0.8759;0.8667;0.8684;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 724};RandomForestClassifier(n_estimators=20, random_state=724)
RandomForestClassifier;0.9195;0.9248;0.9195;0.9198;0.9275;0.9306;0.9275;0.9281;0.8667;0.8759;0.8667;0.8684;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 997};RandomForestClassifier(n_estimators=20, random_state=997)
RandomForestClassifier;0.921;0.9266;0.921;0.9214;0.913;0.9224;0.913;0.9145;0.8667;0.8739;0.8667;0.8679;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
DecisionTreeClassifier;0.8793;0.8849;0.8793;0.879;0.8406;0.8442;0.8406;0.8417;0.8667;0.873;0.8667;0.8675;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 40};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=40)
DecisionTreeClassifier;0.8904;0.8959;0.8904;0.8891;0.9275;0.9294;0.9275;0.9264;0.8667;0.8681;0.8667;0.867;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 701};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=701)
RandomForestClassifier;0.9147;0.9176;0.9147;0.9149;0.8551;0.8681;0.8551;0.8582;0.8667;0.8667;0.8667;0.8667;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 724};RandomForestClassifier(n_estimators=10, random_state=724)
DecisionTreeClassifier;0.884;0.8891;0.884;0.8833;0.9275;0.9328;0.9275;0.9283;0.8667;0.8673;0.8667;0.8666;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 238};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=238)
RandomForestClassifier;0.9276;0.932;0.9276;0.9276;0.9275;0.9306;0.9275;0.9281;0.8667;0.8709;0.8667;0.8663;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 724};RandomForestClassifier(n_estimators=20, random_state=724)
RandomForestClassifier;0.9097;0.9129;0.9097;0.9095;0.971;0.9733;0.971;0.971;0.8667;0.8709;0.8667;0.8663;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 997};RandomForestClassifier(n_estimators=20, random_state=997)
DecisionTreeClassifier;0.8986;0.9004;0.8986;0.8986;0.8696;0.8783;0.8696;0.8685;0.8667;0.8699;0.8667;0.8659;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 238};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=238)
