Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.9516;0.9524;0.9516;0.9517;0.9685;0.9686;0.9685;0.9685;0.9667;0.9667;0.9667;0.9667;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 378, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=378)
MLPClassifier;0.952;0.9526;0.952;0.9521;0.9685;0.969;0.9685;0.9686;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
MLPClassifier;0.9523;0.9526;0.9523;0.9524;0.9629;0.963;0.9629;0.9629;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
MLPClassifier;0.9529;0.9534;0.9529;0.953;0.9641;0.9643;0.9641;0.9641;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
MLPClassifier;0.9536;0.954;0.9536;0.9537;0.954;0.954;0.954;0.954;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
MLPClassifier;0.9527;0.9533;0.9527;0.9528;0.9573;0.9578;0.9573;0.9573;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
MLPClassifier;0.951;0.9515;0.951;0.9511;0.9573;0.9582;0.9573;0.9574;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 378, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=378)
MLPClassifier;0.9503;0.9511;0.9503;0.9505;0.9674;0.9676;0.9674;0.9674;0.95;0.9499;0.95;0.9496;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 378, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=378)
RandomForestClassifier;0.9738;0.9739;0.9738;0.9738;0.964;0.964;0.964;0.964;0.9333;0.937;0.9333;0.9341;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 981};RandomForestClassifier(n_estimators=20, random_state=981)
MLPClassifier;0.9536;0.954;0.9536;0.9537;0.9596;0.9597;0.9596;0.9596;0.9333;0.9379;0.9333;0.934;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
