Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.8726;0.8757;0.8726;0.8722;0.8893;0.8898;0.8893;0.8895;0.8;0.8079;0.8;0.7992;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.874;0.8773;0.874;0.8735;0.8879;0.8872;0.8879;0.8868;0.7833;0.783;0.7833;0.7828;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8753;0.8782;0.8753;0.8756;0.8826;0.8832;0.8826;0.8828;0.7833;0.783;0.7833;0.7828;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8755;0.8765;0.8755;0.8754;0.902;0.903;0.902;0.9023;0.7833;0.7868;0.7833;0.7826;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
KNeighborsClassifier;0.8697;0.874;0.8697;0.8696;0.8973;0.899;0.8973;0.8975;0.7833;0.7868;0.7833;0.7826;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.8671;0.8706;0.8671;0.8663;0.8919;0.8966;0.8919;0.8923;0.7833;0.7948;0.7833;0.7816;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8704;0.873;0.8704;0.8702;0.8993;0.9041;0.8993;0.8996;0.7833;0.7948;0.7833;0.7816;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8829;0.8846;0.8829;0.8831;0.8745;0.8756;0.8745;0.8747;0.7833;0.7948;0.7833;0.7816;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
KNeighborsClassifier;0.8705;0.8736;0.8705;0.8704;0.8927;0.8918;0.8927;0.8921;0.7667;0.7672;0.7667;0.7659;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8735;0.874;0.8735;0.8728;0.8872;0.8878;0.8872;0.8875;0.7667;0.7672;0.7667;0.7659;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
