;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
0;KNeighborsClassifier;0.8989;0.8996;0.8989;0.8991;0.9175;0.9217;0.9175;0.9179;0.95;0.9499;0.95;0.9496;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
1;KNeighborsClassifier;0.8955;0.8967;0.8955;0.8959;0.8862;0.8873;0.8862;0.8863;0.95;0.9499;0.95;0.9496;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
4;KNeighborsClassifier;0.9127;0.9139;0.9127;0.9129;0.9558;0.9559;0.9558;0.9558;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
13;KNeighborsClassifier;0.9089;0.9099;0.9089;0.909;0.9558;0.9559;0.9558;0.9556;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
12;KNeighborsClassifier;0.9036;0.9048;0.9036;0.9037;0.9626;0.9631;0.9626;0.9626;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
11;KNeighborsClassifier;0.9078;0.9097;0.9078;0.9078;0.9354;0.9362;0.9354;0.9356;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
10;KNeighborsClassifier;0.9085;0.9105;0.9085;0.9087;0.9286;0.9297;0.9286;0.9286;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
9;KNeighborsClassifier;0.9085;0.9094;0.9085;0.9084;0.9626;0.9633;0.9626;0.9627;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
8;KNeighborsClassifier;0.9051;0.9058;0.9051;0.9052;0.9898;0.9899;0.9898;0.9898;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
7;KNeighborsClassifier;0.9089;0.9105;0.9089;0.9091;0.9592;0.9607;0.9592;0.9593;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
6;KNeighborsClassifier;0.9123;0.9137;0.9123;0.9125;0.949;0.9501;0.949;0.9488;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
5;KNeighborsClassifier;0.907;0.908;0.907;0.907;0.9524;0.9526;0.9524;0.9523;0.9333;0.934;0.9333;0.9333;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
