Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
DecisionTreeClassifier,0.824,0.8436,0.824,0.828,0.8095,0.8386,0.8095,0.815,0.7833,0.7973,0.7833,0.7857,0.9148,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 652}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=652)"
RandomForestClassifier,0.821,0.8412,0.821,0.8245,0.8146,0.8423,0.8146,0.8185,0.7667,0.7848,0.7667,0.7683,0.9361,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 10, 'random_state': 264}","RandomForestClassifier(n_estimators=10, random_state=264)"
KNeighborsClassifier,0.8082,0.8374,0.8082,0.8095,0.8061,0.8187,0.8061,0.8095,0.7667,0.7765,0.7667,0.7672,0.9221,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=11, weights='distance')"
MLPClassifier,0.7964,0.8556,0.7964,0.7951,0.767,0.7813,0.767,0.7712,0.75,0.7583,0.75,0.7501,0.9311,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 632, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=632)"
DecisionTreeClassifier,0.8253,0.8453,0.8253,0.8283,0.8061,0.8287,0.8061,0.8112,0.7333,0.7458,0.7333,0.735,0.9151,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 319}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=319)"
KNeighborsClassifier,0.8091,0.8349,0.8091,0.8104,0.8146,0.8299,0.8146,0.8183,0.7167,0.735,0.7167,0.7159,0.9277,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
RandomForestClassifier,0.8091,0.8297,0.8091,0.8128,0.8469,0.8576,0.8469,0.8487,0.7,0.7377,0.7,0.6979,0.9348,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 20, 'random_state': 917}","RandomForestClassifier(n_estimators=20, random_state=917)"
LogisticRegression,0.7423,0.7627,0.7423,0.7467,0.7738,0.7884,0.7738,0.7771,0.7,0.7049,0.7,0.6971,0.8979,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'C': 1, 'penalty': 'l2', 'random_state': 364, 'solver': 'lbfgs'}","LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=364)"
LogisticRegression,0.7313,0.7876,0.7313,0.7313,0.7619,0.8232,0.7619,0.7633,0.6833,0.7301,0.6833,0.6914,0.8815,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 1, 'penalty': 'l2', 'random_state': 217, 'solver': 'lbfgs'}","LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=217)"
SVC,0.7798,0.8339,0.7798,0.776,0.7789,0.8357,0.7789,0.7759,0.6833,0.7206,0.6833,0.6826,0.9094,smote,1000,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 633}","SVC(C=10, probability=True, random_state=633)"
SVC,0.7912,0.8407,0.7912,0.787,0.7279,0.799,0.7279,0.7198,0.6833,0.756,0.6833,0.6677,0.9171,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 581}","SVC(C=10, probability=True, random_state=581)"
MLPClassifier,0.7938,0.858,0.7938,0.7954,0.767,0.7659,0.767,0.7651,0.6667,0.6635,0.6667,0.6642,0.9293,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 378, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=378)"
RandomForestClassifier,0.824,0.8434,0.824,0.8278,0.8146,0.8425,0.8146,0.8192,0.6667,0.6744,0.6667,0.6577,0.935,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 10, 'random_state': 522}","RandomForestClassifier(n_estimators=10, random_state=522)"
DecisionTreeClassifier,0.8185,0.8356,0.8185,0.8214,0.8197,0.8342,0.8197,0.8235,0.65,0.6518,0.65,0.6389,0.9375,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 953}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=953)"
