,Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
0,RandomForestClassifier,0.9617,0.9628,0.9617,0.9616,0.9711,0.9717,0.9711,0.971,0.8833,0.8884,0.8833,0.8834,0.9936,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 118}","RandomForestClassifier(n_estimators=20, random_state=118)"
1,KNeighborsClassifier,0.9477,0.9486,0.9477,0.9476,0.9575,0.9579,0.9575,0.9573,0.8833,0.8891,0.8833,0.8829,0.9807,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
2,MLPClassifier,0.9184,0.9224,0.9184,0.9185,0.9167,0.9213,0.9167,0.9168,0.8833,0.8903,0.8833,0.8808,0.9833,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'max_iter': 100000, 'random_state': 391, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=391)"
0,KNeighborsClassifier,0.9841,0.9844,0.9841,0.984,0.9836,0.9838,0.9836,0.9836,0.8833,0.9004,0.8833,0.8856,0.9948,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
1,RandomForestClassifier,0.9874,0.9876,0.9874,0.9874,0.9883,0.9884,0.9883,0.9883,0.8833,0.9004,0.8833,0.8856,0.9981,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 781}","RandomForestClassifier(n_estimators=20, random_state=781)"
0,RandomForestClassifier,0.9803,0.9806,0.9803,0.9802,0.9776,0.9777,0.9776,0.9776,0.8667,0.8906,0.8667,0.87,0.9965,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 882}","RandomForestClassifier(n_estimators=20, random_state=882)"
1,KNeighborsClassifier,0.9768,0.9772,0.9768,0.9767,0.976,0.9764,0.976,0.9758,0.8667,0.8833,0.8667,0.869,0.992,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
3,LogisticRegression,0.8682,0.8697,0.8682,0.8673,0.8741,0.8747,0.8741,0.8732,0.85,0.8508,0.85,0.849,0.9573,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 454, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=454)"
2,KNeighborsClassifier,0.946,0.9476,0.946,0.9459,0.9507,0.9518,0.9507,0.9506,0.85,0.8731,0.85,0.8498,0.9798,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
0,RandomForestClassifier,0.9329,0.9383,0.9329,0.933,0.9348,0.9348,0.9348,0.9343,0.85,0.8524,0.85,0.8497,0.9822,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"{'n_estimators': 20, 'random_state': 572}","RandomForestClassifier(n_estimators=20, random_state=572)"
