,Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
1,RandomForestClassifier,0.9753,0.9755,0.9753,0.9753,0.9782,0.9784,0.9782,0.9782,0.9167,0.9333,0.9167,0.9184,0.9965,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 195}","RandomForestClassifier(n_estimators=20, random_state=195)"
0,KNeighborsClassifier,0.9777,0.978,0.9777,0.9776,0.9793,0.9795,0.9793,0.9792,0.9167,0.9333,0.9167,0.9184,0.9946,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
1,RandomForestClassifier,0.9698,0.9703,0.9698,0.9698,0.9704,0.9707,0.9704,0.9703,0.9,0.913,0.9,0.9019,0.9928,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 660}","RandomForestClassifier(n_estimators=20, random_state=660)"
0,KNeighborsClassifier,0.9699,0.9705,0.9699,0.9698,0.9765,0.9768,0.9765,0.9764,0.9,0.913,0.9,0.9019,0.9898,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
0,KNeighborsClassifier,0.9477,0.9488,0.9477,0.9475,0.9456,0.9456,0.9456,0.9455,0.8833,0.8891,0.8833,0.8829,0.9831,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
2,KNeighborsClassifier,0.9757,0.976,0.9757,0.9756,0.9839,0.9841,0.9839,0.9839,0.8667,0.894,0.8667,0.8683,0.9932,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
2,DecisionTreeClassifier,0.9467,0.9475,0.9467,0.9468,0.9469,0.9472,0.9469,0.9468,0.8667,0.8746,0.8667,0.8674,0.9854,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 370}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=370)"
1,KNeighborsClassifier,0.9456,0.9468,0.9456,0.9454,0.9439,0.9445,0.9439,0.9438,0.8667,0.8722,0.8667,0.8667,0.9835,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
2,RandomForestClassifier,0.952,0.9532,0.952,0.9519,0.9422,0.9433,0.9422,0.9418,0.8667,0.8699,0.8667,0.8659,0.9898,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 784}","RandomForestClassifier(n_estimators=20, random_state=784)"
3,DecisionTreeClassifier,0.9484,0.9493,0.9484,0.9483,0.9498,0.9511,0.9498,0.9498,0.8667,0.8764,0.8667,0.8657,0.99,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 650}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=650)"
