Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9201;0.9205;0.9201;0.9202;0.9041;0.9043;0.9041;0.9042;0.8833;0.886;0.8833;0.8832;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 120};RandomForestClassifier(n_estimators=20, random_state=120)
RandomForestClassifier;0.9178;0.9182;0.9178;0.9179;0.9155;0.9157;0.9155;0.9154;0.8833;0.886;0.8833;0.8832;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 124};RandomForestClassifier(n_estimators=20, random_state=124)
RandomForestClassifier;0.916;0.9164;0.916;0.9161;0.9262;0.9263;0.9262;0.9262;0.8833;0.886;0.8833;0.8832;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 848};RandomForestClassifier(n_estimators=20, random_state=848)
RandomForestClassifier;0.9149;0.9152;0.9149;0.915;0.9262;0.9264;0.9262;0.9262;0.8833;0.886;0.8833;0.8832;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 124};RandomForestClassifier(n_estimators=20, random_state=124)
RandomForestClassifier;0.9172;0.9176;0.9172;0.9173;0.9228;0.9234;0.9228;0.9228;0.8833;0.8832;0.8833;0.8829;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 124};RandomForestClassifier(n_estimators=20, random_state=124)
RandomForestClassifier;0.9179;0.9184;0.9179;0.918;0.9154;0.9164;0.9154;0.9156;0.8833;0.8832;0.8833;0.8829;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 124};RandomForestClassifier(n_estimators=20, random_state=124)
RandomForestClassifier;0.9163;0.9166;0.9163;0.9164;0.9148;0.9155;0.9148;0.9148;0.8833;0.8842;0.8833;0.8823;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 848};RandomForestClassifier(n_estimators=20, random_state=848)
RandomForestClassifier;0.9205;0.9209;0.9205;0.9205;0.9087;0.9095;0.9087;0.9088;0.8833;0.8836;0.8833;0.8823;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 120};RandomForestClassifier(n_estimators=20, random_state=120)
RandomForestClassifier;0.9176;0.918;0.9176;0.9177;0.9195;0.9196;0.9195;0.9195;0.8667;0.8692;0.8667;0.8669;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 124};RandomForestClassifier(n_estimators=10, random_state=124)
RandomForestClassifier;0.9166;0.9169;0.9166;0.9166;0.9107;0.9112;0.9107;0.9109;0.8667;0.8667;0.8667;0.8667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 120};RandomForestClassifier(n_estimators=20, random_state=120)
RandomForestClassifier;0.9163;0.9168;0.9163;0.9164;0.9268;0.9268;0.9268;0.9268;0.8667;0.8667;0.8667;0.8667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 848};RandomForestClassifier(n_estimators=20, random_state=848)
RandomForestClassifier;0.9178;0.9183;0.9178;0.9178;0.9188;0.9189;0.9188;0.9188;0.8667;0.8673;0.8667;0.8666;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 848};RandomForestClassifier(n_estimators=20, random_state=848)
