Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9453;0.947;0.9453;0.9453;0.927;0.9296;0.927;0.9274;0.85;0.8497;0.85;0.8495;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 954};RandomForestClassifier(n_estimators=5, random_state=954)
DecisionTreeClassifier;0.9416;0.9432;0.9416;0.9416;0.9364;0.9362;0.9364;0.9361;0.85;0.8497;0.85;0.8495;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 804};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=804)
RandomForestClassifier;0.9429;0.9448;0.9429;0.9429;0.9491;0.9502;0.9491;0.9491;0.85;0.8508;0.85;0.849;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 687};RandomForestClassifier(n_estimators=5, random_state=687)
RandomForestClassifier;0.9435;0.9456;0.9435;0.9435;0.9478;0.9495;0.9478;0.9477;0.85;0.8508;0.85;0.849;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 653};RandomForestClassifier(n_estimators=10, random_state=653)
MLPClassifier;0.9321;0.9341;0.9321;0.932;0.9244;0.9246;0.9244;0.9237;0.85;0.849;0.85;0.8481;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 519, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=519)
MLPClassifier;0.9309;0.9328;0.9309;0.9308;0.913;0.9152;0.913;0.9122;0.8333;0.8449;0.8333;0.8363;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 606, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=606)
MLPClassifier;0.926;0.93;0.926;0.9256;0.9418;0.9439;0.9418;0.9417;0.8333;0.8347;0.8333;0.8337;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 519, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=519)
MLPClassifier;0.9337;0.9359;0.9337;0.9338;0.9337;0.9364;0.9337;0.9337;0.8333;0.8347;0.8333;0.8337;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 519, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=519)
DecisionTreeClassifier;0.9441;0.9461;0.9441;0.9441;0.9351;0.9368;0.9351;0.9351;0.8333;0.836;0.8333;0.8335;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 613};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=613)
DecisionTreeClassifier;0.9436;0.9456;0.9436;0.9437;0.9378;0.939;0.9378;0.9378;0.8333;0.836;0.8333;0.8335;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 613};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=613)
DecisionTreeClassifier;0.9439;0.9462;0.9439;0.944;0.9418;0.9423;0.9418;0.9418;0.8333;0.836;0.8333;0.8335;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 613};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=613)
DecisionTreeClassifier;0.9442;0.9464;0.9442;0.9443;0.9438;0.9461;0.9438;0.9439;0.8333;0.8331;0.8333;0.8329;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 550};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=550)
DecisionTreeClassifier;0.9436;0.9457;0.9436;0.9436;0.9378;0.9394;0.9378;0.9376;0.8333;0.8331;0.8333;0.8329;smote;5000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 804};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=804)
