Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.925;0.9261;0.925;0.925;0.9347;0.9347;0.9347;0.9343;0.9333;0.937;0.9333;0.9341;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 754};RandomForestClassifier(n_estimators=20, random_state=754)
RandomForestClassifier;0.9292;0.9297;0.9292;0.9292;0.9175;0.9173;0.9175;0.9173;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 328};RandomForestClassifier(n_estimators=20, random_state=328)
RandomForestClassifier;0.928;0.929;0.928;0.9281;0.921;0.9212;0.921;0.9204;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 450};RandomForestClassifier(n_estimators=20, random_state=450)
RandomForestClassifier;0.9196;0.9204;0.9196;0.9197;0.9517;0.9519;0.9517;0.9513;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 587};RandomForestClassifier(n_estimators=20, random_state=587)
RandomForestClassifier;0.9258;0.9263;0.9258;0.9256;0.931;0.9314;0.931;0.9311;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 580};RandomForestClassifier(n_estimators=20, random_state=580)
RandomForestClassifier;0.9246;0.9258;0.9246;0.9247;0.9207;0.9208;0.9207;0.9205;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 346};RandomForestClassifier(n_estimators=20, random_state=346)
RandomForestClassifier;0.9288;0.9293;0.9288;0.9288;0.8966;0.8966;0.8966;0.8964;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 754};RandomForestClassifier(n_estimators=10, random_state=754)
RandomForestClassifier;0.9231;0.9238;0.9231;0.923;0.9172;0.9171;0.9172;0.917;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 328};RandomForestClassifier(n_estimators=20, random_state=328)
RandomForestClassifier;0.9276;0.9282;0.9276;0.9277;0.8935;0.8933;0.8935;0.893;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 754};RandomForestClassifier(n_estimators=20, random_state=754)
RandomForestClassifier;0.9257;0.9265;0.9257;0.9258;0.9244;0.924;0.9244;0.924;0.9167;0.9245;0.9167;0.9181;smote;1000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 328};RandomForestClassifier(n_estimators=20, random_state=328)
