Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.9568;0.9571;0.9568;0.9568;0.9685;0.9687;0.9685;0.9685;0.9167;0.9259;0.9167;0.9171;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.9707;0.9708;0.9707;0.9707;0.973;0.9732;0.973;0.9731;0.9167;0.9259;0.9167;0.9171;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 535};RandomForestClassifier(n_estimators=20, random_state=535)
RandomForestClassifier;0.9682;0.9683;0.9682;0.9682;0.9787;0.9787;0.9787;0.9786;0.9167;0.9269;0.9167;0.917;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 50};RandomForestClassifier(n_estimators=20, random_state=50)
RandomForestClassifier;0.9688;0.9689;0.9688;0.9688;0.9831;0.9832;0.9831;0.9832;0.9167;0.9269;0.9167;0.917;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 535};RandomForestClassifier(n_estimators=20, random_state=535)
RandomForestClassifier;0.9695;0.9697;0.9695;0.9695;0.9731;0.9732;0.9731;0.9731;0.9167;0.9269;0.9167;0.917;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 535};RandomForestClassifier(n_estimators=20, random_state=535)
RandomForestClassifier;0.9697;0.9697;0.9697;0.9696;0.9775;0.9776;0.9775;0.9775;0.9167;0.9269;0.9167;0.917;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 50};RandomForestClassifier(n_estimators=20, random_state=50)
KNeighborsClassifier;0.9537;0.954;0.9537;0.9536;0.9719;0.972;0.9719;0.9719;0.9;0.9148;0.9;0.9008;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.9699;0.97;0.9699;0.9699;0.9663;0.9664;0.9663;0.9663;0.9;0.9148;0.9;0.9008;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 76};RandomForestClassifier(n_estimators=20, random_state=76)
RandomForestClassifier;0.9703;0.9704;0.9703;0.9703;0.9697;0.9697;0.9697;0.9696;0.9;0.9148;0.9;0.9008;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 535};RandomForestClassifier(n_estimators=20, random_state=535)
RandomForestClassifier;0.9715;0.9717;0.9715;0.9715;0.9618;0.962;0.9618;0.9617;0.9;0.9148;0.9;0.9008;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 535};RandomForestClassifier(n_estimators=20, random_state=535)
