Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.882;0.8828;0.882;0.8819;0.8799;0.8818;0.8799;0.8799;0.7833;0.7861;0.7833;0.7823;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 240, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=240)
MLPClassifier;0.8803;0.8811;0.8803;0.8802;0.8872;0.8878;0.8872;0.8872;0.7833;0.7861;0.7833;0.7823;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 62, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=62)
MLPClassifier;0.8814;0.8823;0.8814;0.8813;0.8893;0.8902;0.8893;0.8891;0.7833;0.7835;0.7833;0.7821;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 240, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=240)
MLPClassifier;0.8801;0.8809;0.8801;0.88;0.898;0.8985;0.898;0.8979;0.7833;0.7835;0.7833;0.7821;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 240, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=240)
MLPClassifier;0.8824;0.8834;0.8824;0.8822;0.8866;0.8867;0.8866;0.8865;0.7833;0.7835;0.7833;0.7821;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 240, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=240)
MLPClassifier;0.8838;0.8845;0.8838;0.8837;0.8739;0.875;0.8739;0.8737;0.7833;0.7835;0.7833;0.7821;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 62, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=62)
KNeighborsClassifier;0.8654;0.8666;0.8654;0.8653;0.8752;0.8768;0.8752;0.8751;0.7833;0.7922;0.7833;0.7791;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
MLPClassifier;0.8809;0.8817;0.8809;0.8809;0.8832;0.8839;0.8832;0.8832;0.7667;0.7709;0.7667;0.7664;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 62, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=62)
RandomForestClassifier;0.8838;0.8845;0.8838;0.8838;0.8926;0.8929;0.8926;0.8926;0.7667;0.7738;0.7667;0.7662;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 274};RandomForestClassifier(n_estimators=20, random_state=274)
MLPClassifier;0.8821;0.8829;0.8821;0.882;0.8732;0.8743;0.8732;0.8732;0.7667;0.7672;0.7667;0.7659;smote;5000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 240, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=240)
