Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
MLPClassifier,0.9511,0.9517,0.9511,0.9512,0.9512,0.9513,0.9512,0.9512,0.95,0.9516,0.95,0.9504,0.9906,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.9739,0.974,0.9739,0.9739,0.9759,0.976,0.9759,0.9759,0.9333,0.939,0.9333,0.9336,0.9922,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9504,0.9509,0.9504,0.9505,0.9562,0.9562,0.9562,0.9562,0.9333,0.934,0.9333,0.9333,0.9864,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9835,0.9836,0.9835,0.9835,0.9799,0.98,0.9799,0.9799,0.9167,0.9206,0.9167,0.9174,0.9992,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9721,0.9722,0.9721,0.9721,0.9798,0.9798,0.9798,0.9798,0.9,0.9058,0.9,0.8995,0.9925,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8988,0.9003,0.8988,0.8992,0.9113,0.9143,0.9113,0.912,0.9,0.9032,0.9,0.8988,0.9734,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.901,0.9015,0.901,0.9012,0.8911,0.891,0.8911,0.891,0.8833,0.8934,0.8833,0.8839,0.9269,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9736,0.9736,0.9736,0.9736,0.9765,0.9765,0.9765,0.9765,0.8833,0.8944,0.8833,0.8836,0.9802,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9575,0.9576,0.9575,0.9575,0.9629,0.9629,0.9629,0.9629,0.8833,0.8833,0.8833,0.8833,0.9681,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9521,0.9523,0.9521,0.9522,0.9483,0.9484,0.9483,0.9484,0.8833,0.8854,0.8833,0.8818,0.9641,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8742,0.8765,0.8742,0.8744,0.8915,0.8919,0.8915,0.8916,0.8833,0.895,0.8833,0.8818,0.9591,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
