Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9598,0.9601,0.9598,0.9599,0.9635,0.964,0.9635,0.9636,0.9333,0.934,0.9333,0.9333,0.9898,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.9431,0.9432,0.9431,0.9431,0.9534,0.9535,0.9534,0.9534,0.9167,0.9195,0.9167,0.917,0.9834,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
RandomForestClassifier,0.9712,0.9714,0.9712,0.9713,0.9743,0.9744,0.9743,0.9743,0.9167,0.9195,0.9167,0.917,0.9969,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.9482,0.9485,0.9482,0.9482,0.9512,0.9516,0.9512,0.9512,0.9167,0.9174,0.9167,0.9166,0.9855,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
SVC,0.8255,0.8329,0.8255,0.8264,0.8372,0.8398,0.8372,0.8379,0.9,0.9019,0.9,0.8999,0.924,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,SVC(probability=True)
RandomForestClassifier,0.9615,0.9618,0.9615,0.9615,0.9641,0.9641,0.9641,0.9641,0.9,0.8995,0.9,0.8986,0.9908,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9537,0.9542,0.9537,0.9538,0.9603,0.9602,0.9603,0.9602,0.8833,0.9136,0.8833,0.8863,0.9653,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9474,0.9476,0.9474,0.9474,0.9525,0.9524,0.9525,0.9524,0.8833,0.8913,0.8833,0.884,0.9912,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
MLPClassifier,0.8467,0.8509,0.8467,0.8472,0.8551,0.8576,0.8551,0.8552,0.8833,0.8952,0.8833,0.8828,0.95,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,MLPClassifier()
DecisionTreeClassifier,0.9341,0.9344,0.9341,0.9343,0.95,0.9502,0.95,0.9501,0.8667,0.8673,0.8667,0.8666,0.9506,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
