Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9638,0.964,0.9638,0.9638,0.9653,0.9658,0.9653,0.9653,0.9667,0.9683,0.9667,0.9662,0.995,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
KNeighborsClassifier,0.9424,0.9427,0.9424,0.9424,0.9463,0.9471,0.9463,0.9463,0.9333,0.9365,0.9333,0.9337,0.9881,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
RandomForestClassifier,0.9551,0.9553,0.9551,0.9551,0.9439,0.9443,0.9439,0.9439,0.9167,0.9195,0.9167,0.917,0.988,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.947,0.9472,0.947,0.947,0.9519,0.952,0.9519,0.9519,0.9167,0.9174,0.9167,0.9166,0.9603,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
SVC,0.896,0.9055,0.896,0.8973,0.9006,0.9117,0.9006,0.9021,0.9,0.913,0.9,0.9019,0.9565,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,SVC(probability=True)
KNeighborsClassifier,0.9374,0.9376,0.9374,0.9372,0.9349,0.9351,0.9349,0.9349,0.9,0.9048,0.9,0.9012,0.9825,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
MLPClassifier,0.9035,0.9058,0.9035,0.9043,0.9017,0.9055,0.9017,0.9027,0.8833,0.8891,0.8833,0.8829,0.9802,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
KNeighborsClassifier,0.9413,0.9416,0.9413,0.9413,0.9405,0.9407,0.9405,0.9404,0.8833,0.8844,0.8833,0.8828,0.9836,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9257,0.926,0.9257,0.9258,0.9382,0.9384,0.9382,0.9382,0.8833,0.8873,0.8833,0.8826,0.9443,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8867,0.8912,0.8867,0.8857,0.8967,0.8977,0.8967,0.897,0.8833,0.8883,0.8833,0.881,0.9633,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9089,0.9132,0.9089,0.9095,0.904,0.907,0.904,0.9046,0.8833,0.884,0.8833,0.8803,0.9817,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9079,0.9116,0.9079,0.9088,0.9074,0.9129,0.9074,0.9084,0.8833,0.8986,0.8833,0.8792,0.9822,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
KNeighborsClassifier,0.8055,0.8153,0.8055,0.8057,0.8328,0.8339,0.8328,0.8332,0.8667,0.873,0.8667,0.8686,0.9249,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C']",10,KNeighborsClassifier()
RandomForestClassifier,0.847,0.8492,0.847,0.847,0.8473,0.8473,0.8473,0.8464,0.8667,0.8667,0.8667,0.8667,0.957,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8451,0.8474,0.8451,0.8447,0.8557,0.8565,0.8557,0.8555,0.8667,0.8667,0.8667,0.8667,0.9567,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C']",10,DecisionTreeClassifier()
