Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9702,0.9703,0.9702,0.9702,0.9725,0.9725,0.9725,0.9725,0.9333,0.934,0.9333,0.9333,0.9919,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9691,0.9693,0.9691,0.9691,0.9764,0.9764,0.9764,0.9764,0.9333,0.938,0.9333,0.9331,0.9922,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9608,0.9611,0.9608,0.9608,0.9478,0.948,0.9478,0.9478,0.9167,0.9206,0.9167,0.9174,0.9885,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.902,0.9029,0.902,0.9023,0.8883,0.8904,0.8883,0.8889,0.9167,0.9194,0.9167,0.9165,0.9682,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9704,0.9705,0.9704,0.9703,0.9681,0.9685,0.9681,0.9682,0.9167,0.9214,0.9167,0.9165,0.9778,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.9361,0.9372,0.9361,0.9362,0.9349,0.9365,0.9349,0.9351,0.9,0.9061,0.9,0.9015,0.9879,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.9827,0.9828,0.9827,0.9827,0.9771,0.9773,0.9771,0.9771,0.9,0.9045,0.9,0.9007,0.9991,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9511,0.9514,0.9511,0.9511,0.9596,0.9596,0.9596,0.9596,0.9,0.9021,0.9,0.8999,0.9875,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
SVC,0.8725,0.8734,0.8725,0.8726,0.8737,0.8741,0.8737,0.8738,0.9,0.9027,0.9,0.8998,0.9533,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.8865,0.8877,0.8865,0.8868,0.8871,0.8909,0.8871,0.8879,0.9,0.9032,0.9,0.8988,0.9711,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,MLPClassifier()
