Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
DecisionTreeClassifier,0.9094,0.9138,0.9094,0.9097,0.9065,0.9096,0.9065,0.9069,0.9,0.9034,0.9,0.8968,0.9833,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9379,0.9387,0.9379,0.938,0.9286,0.9287,0.9286,0.9282,0.8833,0.8875,0.8833,0.884,0.9877,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
SVC,0.7438,0.7833,0.7438,0.7462,0.7332,0.7693,0.7332,0.7364,0.8833,0.8884,0.8833,0.8834,0.8713,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.906,0.9107,0.906,0.9072,0.9218,0.9245,0.9218,0.9224,0.8833,0.8894,0.8833,0.8813,0.9842,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8811,0.8834,0.8811,0.8812,0.9053,0.9052,0.9053,0.9051,0.8667,0.8709,0.8667,0.8673,0.9543,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8923,0.8929,0.8923,0.8926,0.9122,0.9148,0.9122,0.9126,0.8667,0.8867,0.8667,0.8672,0.9642,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8041,0.8077,0.8041,0.8044,0.8124,0.8131,0.8124,0.8125,0.8667,0.8724,0.8667,0.8662,0.9192,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.863,0.8772,0.863,0.8646,0.864,0.8811,0.864,0.8664,0.85,0.864,0.85,0.8525,0.9619,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,MLPClassifier()
MLPClassifier,0.8299,0.857,0.8299,0.8335,0.8673,0.9063,0.8673,0.8713,0.85,0.8654,0.85,0.8525,0.9631,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8949,0.8954,0.8949,0.8949,0.9071,0.9071,0.9071,0.907,0.85,0.8571,0.85,0.8524,0.959,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8359,0.8376,0.8359,0.8365,0.8554,0.8562,0.8554,0.8557,0.85,0.8523,0.85,0.8508,0.945,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
MLPClassifier,0.7283,0.7589,0.7283,0.7335,0.7608,0.7807,0.7608,0.7631,0.85,0.8564,0.85,0.8508,0.8924,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8682,0.8706,0.8682,0.8683,0.8864,0.891,0.8864,0.8875,0.85,0.8644,0.85,0.8481,0.9518,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8814,0.8894,0.8814,0.8824,0.8895,0.8914,0.8895,0.89,0.85,0.8599,0.85,0.8473,0.9694,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.879,0.8823,0.879,0.8797,0.9088,0.9089,0.9088,0.9088,0.85,0.8755,0.85,0.8452,0.9675,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
LogisticRegression,0.8117,0.8466,0.8117,0.8136,0.7874,0.8383,0.7874,0.7919,0.8333,0.8409,0.8333,0.8349,0.8814,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8648,0.8666,0.8648,0.865,0.8692,0.8707,0.8692,0.8697,0.8333,0.8355,0.8333,0.8341,0.8987,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.7971,0.799,0.7971,0.7978,0.7986,0.7989,0.7986,0.7987,0.8333,0.8432,0.8333,0.8333,0.9226,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8984,0.8993,0.8984,0.8983,0.8933,0.8947,0.8933,0.893,0.8167,0.8253,0.8167,0.8183,0.9705,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
SVC,0.7683,0.7865,0.7683,0.7672,0.7917,0.7965,0.7917,0.7911,0.8167,0.8214,0.8167,0.8181,0.8701,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'N']",10,SVC(probability=True)
MLPClassifier,0.8157,0.8206,0.8157,0.8159,0.8262,0.8288,0.8262,0.8264,0.8167,0.8184,0.8167,0.8162,0.9377,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.9048,0.9057,0.9048,0.9046,0.8895,0.8915,0.8895,0.8895,0.8167,0.8217,0.8167,0.816,0.9738,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.885,0.8879,0.885,0.8853,0.8864,0.8876,0.8864,0.8866,0.8167,0.8172,0.8167,0.8155,0.9657,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8074,0.8149,0.8074,0.8068,0.8231,0.8242,0.8231,0.8233,0.8,0.8273,0.8,0.8036,0.9325,smote,1000,no_scaled,"['storyPoints', 'polarity', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.6701,0.7198,0.6701,0.6756,0.6885,0.7335,0.6885,0.6939,0.8,0.8128,0.8,0.8015,0.8526,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8023,0.8044,0.8023,0.8027,0.8038,0.8063,0.8038,0.8042,0.8,0.8058,0.8,0.8007,0.9145,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8478,0.8537,0.8478,0.8477,0.835,0.8424,0.835,0.835,0.8,0.8303,0.8,0.7993,0.9609,smote,1000,no_scaled,"['storyPoints', 'polarity', 'N']",10,RandomForestClassifier()
SVC,0.8213,0.8636,0.8213,0.8227,0.8279,0.8659,0.8279,0.8288,0.8,0.8303,0.8,0.7993,0.9281,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,SVC(probability=True)
MLPClassifier,0.7825,0.7883,0.7825,0.7841,0.7435,0.7451,0.7435,0.7439,0.8,0.7987,0.8,0.798,0.9107,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,MLPClassifier()
SVC,0.6878,0.7453,0.6878,0.6913,0.6713,0.7312,0.6713,0.6689,0.8,0.8321,0.8,0.7969,0.8153,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.7485,0.7494,0.7485,0.7495,0.8038,0.8061,0.8038,0.8043,0.8,0.8087,0.8,0.7968,0.8139,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
