Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.6264;0.6493;0.6264;0.5759;0.55;0.4018;0.55;0.4543;0.6667;0.6667;0.6667;0.6222;under;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 816};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=816)
RandomForestClassifier;0.6856;0.6615;0.6856;0.6405;0.7333;0.6533;0.7333;0.6833;0.6667;0.5833;0.6667;0.6111;over;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 20, 'random_state': 449};RandomForestClassifier(n_estimators=20, random_state=449)
DecisionTreeClassifier;0.6667;0.6111;0.6667;0.6139;0.3333;0.26;0.3333;0.2514;0.6667;0.5833;0.6667;0.6111;mixed;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 713};DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=713)
RandomForestClassifier;0.733;0.6948;0.733;0.6837;0.8;0.8444;0.8;0.7956;0.6667;0.5833;0.6667;0.6111;smote;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 5, 'random_state': 809};RandomForestClassifier(n_estimators=5, random_state=809)
KNeighborsClassifier;0.5022;0.4183;0.5022;0.4456;0.5833;0.5556;0.5833;0.5444;0.6667;0.4667;0.6667;0.5417;smote;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.4223;0.3136;0.4223;0.3113;0.6;0.4579;0.6;0.487;0.6667;0.4667;0.6667;0.5417;under;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3807;0.3617;0.3807;0.3694;0.5333;0.52;0.5333;0.4984;0.6667;0.4667;0.6667;0.5417;under;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3993;0.3868;0.3993;0.3697;0.55;0.6362;0.55;0.5193;0.6667;0.4667;0.6667;0.5417;under;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.4578;0.4186;0.4578;0.4157;0.75;0.9;0.75;0.7619;0.6667;0.4667;0.6667;0.5417;smote;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.4244;0.3372;0.4244;0.39;0.6667;0.75;0.6667;0.6722;0.6667;0.4667;0.6667;0.5417;smote;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.3733;0.397;0.3733;0.314;0.8333;0.7222;0.8333;0.7667;0.6667;0.4667;0.6667;0.5417;over;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.464;0.4477;0.464;0.3968;0.8;0.8833;0.8;0.787;0.6667;0.4667;0.6667;0.5417;over;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3004;0.2376;0.3004;0.2336;0.6;0.5562;0.6;0.5518;0.6667;0.4667;0.6667;0.5417;smote;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.4034;0.3394;0.4034;0.3546;0.6667;0.6278;0.6667;0.6279;0.6667;0.4667;0.6667;0.5417;over;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3333;0.2659;0.3333;0.2339;0.9167;0.9444;0.9167;0.9111;0.6667;0.4667;0.6667;0.5417;over;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3356;0.3472;0.3356;0.3044;0.9167;0.9444;0.9167;0.9111;0.6667;0.4667;0.6667;0.5417;mixed;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3996;0.3324;0.3996;0.3335;0.6667;0.8256;0.6667;0.6432;0.6667;0.4667;0.6667;0.5417;over;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
MLPClassifier;0.6245;0.6292;0.6245;0.5824;0.75;0.7733;0.75;0.7482;0.6667;0.4667;0.6667;0.5417;mixed;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_iter': 100000, 'random_state': 957, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=957)
KNeighborsClassifier;0.4905;0.4355;0.4905;0.4391;0.8;0.8389;0.8;0.7781;0.6667;0.4667;0.6667;0.5417;over;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
