Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
LogisticRegression;0.1429;0.0794;0.1429;0.0963;0.4;0.16;0.4;0.2286;0.8333;0.75;0.8333;0.7778;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 295, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=295)"
RandomForestClassifier;0.3083;0.2389;0.3083;0.2194;0.25;0.1875;0.25;0.2083;0.8333;0.7083;0.8333;0.7619;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 20, 'random_state': 460};RandomForestClassifier(n_estimators=20, random_state=460)
DecisionTreeClassifier;0.2063;0.1627;0.2063;0.1711;0.1818;0.0682;0.1818;0.0992;0.6667;0.5417;0.6667;0.5952;not-balanced;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 393};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=393)
RandomForestClassifier;0.33;0.27;0.33;0.2406;0.2857;0.2143;0.2857;0.2381;0.5;0.6667;0.5;0.5667;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 5, 'random_state': 923};RandomForestClassifier(n_estimators=5, random_state=923)
LogisticRegression;0.36;0.3133;0.36;0.237;0.1667;0.0833;0.1667;0.1111;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 472, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=472)"
DecisionTreeClassifier;0.1905;0.0873;0.1905;0.1333;0.2;0.14;0.2;0.1571;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 653};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=653)
SVC;0.4333;0.3292;0.4333;0.3036;0.125;0.0625;0.125;0.0833;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 1, 'kernel': 'linear', 'random_state': 487};SVC(C=1, kernel='linear', random_state=487)
RandomForestClassifier;0.16;0.1267;0.16;0.0827;0.5;0.3333;0.5;0.3889;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 20, 'random_state': 3};RandomForestClassifier(n_estimators=20, random_state=3)
RandomForestClassifier;0.2857;0.3333;0.2857;0.2222;0.2;0.1333;0.2;0.15;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 5, 'random_state': 189};RandomForestClassifier(n_estimators=5, random_state=189)
RandomForestClassifier;0.2083;0.1875;0.2083;0.1694;0.4286;0.2429;0.4286;0.3095;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 5, 'random_state': 38};RandomForestClassifier(n_estimators=5, random_state=38)
